identification,event_name,category,organiser_id,start_date,end_date,address,price,description,image,available_tickets
1,Fringe Festival,other,1,2019-04-19 10:00:00,2019-05-24 17:00:00,"56 Moonwalk Lane, Boogie Town WA",Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",fringe.jpg,100
2,CodeMaster Fyre,other,2,2019-04-19 20:00:00,2019-04-20 01:00:00,"Fiyoari, Maldives","10,000","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",codemaster.jpg,300
3,A-Team Vs. AAA-Team,sport,3,2019-04-19 20:00:00,2019-04-20 01:00:00,CodeMaster Institute,45,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",ateam.jpg,50
4,10$ Cocktail Thursdays,food and drink,4,2019-04-19 20:00:00,2019-04-20 01:00:00,Hula Bula Bar,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",hulabula.jpg,unlimited
5,Laneway Festival,music,5,2019-04-19 20:00:00,2019-04-20 01:00:00,Fremantle Esplanade,0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",laneway.jpg,8000
6,Andy Warhol Exhibition,art,6,2019-04-19 20:00:00,2019-04-20 01:00:00,Perth Museum,19.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",andy.jpeg,unlimited
7,So Fresh Concert,music,7,2019-04-19 20:00:00,2019-04-20 01:00:00,Elizabeth Key,10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",sofresh.jpg,10000
8,Family Movie Night - Shrek,family,8,2019-04-19 20:00:00,2019-04-20 01:00:00,Northbridge Piazza,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",shrek.jpg,50
9,West Coast Eagles Vs. Fremantle Dockers,sport,9,2019-04-19 20:00:00,2019-04-20 01:00:00,Optus Stadium,69,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",westcoastfremantle.jpg,65000
10,Perth Wildcats Vs. Sydney Kings,sport,10,2019-04-19 20:00:00,2019-04-20 01:00:00,Perth Arena,37,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed malesuada, sapien at varius interdum, enim enim mattis nisi, non faucibus erat tortor et felis. In ac condimentum libero, id viverra nisi. Vivamus ullamcorper placerat mi, quis porta magna vestibulum sed. Nunc vitae lorem eget magna porttitor tempor. Aenean commodo elit sit amet justo fringilla, at placerat magna laoreet. Fusce ipsum metus, tristique nec commodo et, posuere a mi. Sed dapibus libero ut nunc pellentesque feugiat. Quisque tincidunt blandit nisi.

Mauris accumsan hendrerit sem sed bibendum. Maecenas tempus, mi et venenatis commodo, diam ex auctor metus, quis congue eros ligula vitae eros. Nunc vitae ultricies sem. Curabitur blandit luctus sapien, at efficitur urna. Ut purus leo, interdum eget nunc id, molestie dignissim nibh. Donec condimentum metus non dui pretium varius. Curabitur tempus nunc sed fringilla sodales. Vivamus commodo consectetur ipsum et malesuada. Nulla facilisi. Praesent sed tortor at ex aliquet feugiat. Integer ornare euismod lorem. Curabitur finibus lectus mollis mi placerat, ac tincidunt massa laoreet. Nunc quam diam, mollis scelerisque dui et, bibendum blandit massa. Fusce eget quam pellentesque, ornare felis id, fermentum felis. Pellentesque eget malesuada eros. Curabitur tincidunt enim ac varius sodales.",wildcatskings.jpg,20000